cell_id,lac,mnc,latitud,longitud,fecha,observacion,operador
5296881,17800,3,-17.402393,-66.17997,2021-06-21 18:48:53.165144,ninguna,
5281108,17800,3,-17.405706,-66.165348,2021-06-21 18:48:53.165003,ninguna,
5271083,17800,3,-17.397879,-66.172049,2021-06-21 18:48:53.164871,ninguna,
5271070,17800,3,-17.401836,-66.165314,2021-06-21 18:48:53.164772,ninguna,
5306964,17800,3,-17.398419,-66.165601,2021-06-21 18:48:53.164671,ninguna,
5281123,17800,3,-17.403030395508,-66.172714233398,2021-06-21 18:48:53.164571,ninguna,
5271021,17800,3,-17.40535,-66.179142,2021-06-21 18:48:53.164465,ninguna,
5270918,17800,3,-17.398908,-66.16581,2021-06-21 18:48:53.164363,ninguna,
5260881,17800,3,-17.403030395508,-66.168594360352,2021-06-21 18:48:53.164262,ninguna,
5286881,17800,3,-17.403794,-66.172808,2021-06-21 18:48:53.164165,ninguna,
5280920,17800,3,-17.401991,-66.168233,2021-06-21 18:48:53.164062,ninguna,
5270881,17800,3,-17.405776977539,-66.178207397461,2021-06-21 18:48:53.163956,ninguna,
13796729,43401,2,-17.401657104492,-66.178207397461,2021-06-21 18:48:53.163791,ninguna,
13795891,43401,2,-17.398910522461,-66.16584777832,2021-06-21 18:48:53.161978,ninguna,
13795846,43401,2,-17.404404,-66.178894,2021-06-21 18:48:53.161874,ninguna,
13795651,43401,2,-17.403717,-66.171341,2021-06-21 18:48:53.161776,ninguna,
13795659,43401,2,-17.402825,-66.174845,2021-06-21 18:48:53.161680,ninguna,
13795897,43401,2,-17.398910522461,-66.16584777832,2021-06-21 18:48:53.161585,ninguna,
13795893,43401,2,-17.400614,-66.169582,2021-06-21 18:48:53.161486,ninguna,
13796723,43401,2,-17.401657104492,-66.178207397461,2021-06-21 18:48:53.161390,ninguna,
13795843,43401,2,-17.402115,-66.184616,2021-06-21 18:48:53.161296,ninguna,
13795899,43401,2,-17.397537,-66.169183,2021-06-21 18:48:53.161199,ninguna,
13796722,43401,2,-17.400283813477,-66.17546081543,2021-06-21 18:48:53.161098,ninguna,
13795849,43401,2,-17.405777,-66.180038,2021-06-21 18:48:53.161001,ninguna,
13795658,43401,2,-17.405777,-66.165161,2021-06-21 18:48:53.160902,ninguna,
13795672,43401,2,-17.398607,-66.181992,2021-06-21 18:48:53.160807,ninguna,
13796728,43401,2,-17.40097,-66.172028,2021-06-21 18:48:53.160714,ninguna,
13795956,43401,2,-17.397537231445,-66.16584777832,2021-06-21 18:48:53.160619,ninguna,
13795653,43401,2,-17.404822,-66.174088,2021-06-21 18:48:53.160527,ninguna,
20489730,27461,3,-17.401657104492,-66.164474487305,2021-06-21 18:48:53.160432,ninguna,
20492545,27460,3,-17.397658,-66.182106,2021-06-21 18:48:53.160340,ninguna,
13796424,43401,2,-17.401657,-66.185074,2021-06-21 18:48:53.160249,ninguna,
5260929,17800,3,-17.39758,-66.185289,2021-06-21 18:48:53.160159,ninguna,
13796422,43401,2,-17.401805,-66.186128,2021-06-21 18:48:53.160069,ninguna,
